Model			ADC		ID		SPS		Gain	Sensitivity Mode
DAQ24USB-5V		CS5523	ND263	12.5	2		High
DAQ24USB-5V		CS5523	ND264	15.0	2		High
DAQ24USB-5V		CS5523	ND265	25.0	2		High
DAQ24USB-5V		CS5523	ND266	30.0	2		High
DAQ24USB-5V		CS5523	ND267	50.0	2		High
DAQ24USB-5V		CS5523	ND268	60.0	2		High
DAQ24USB-5V		CS5523	ND269	100		2		High
DAQ24USB-5V		CS5523	ND270	120		2		High
DAQ24USB-5V		CS5523	ND271	200		2		High
DAQ24USB-5V		CS5523	ND272	240		2		High
DAQ24USB-5V		CS5523	ND273	400		2		High
DAQ24USB-5V		CS5523	ND274	480		2		High
DAQ24USB-5V		CS5523	ND275	800		2		High
DAQ24USB-5V		CS5523	ND276	960		2		High
DAQ24USB-5V		CS5523	ND277	1600	2		High
DAQ24USB-5V		CS5523	ND278	1920	2		High
DAQ24USB-5V		CS5523	ND279	3200	2		High
DAQ24USB-5V		CS5523	ND280	3840	2		High

DAQ24USB-5V		CS5523	ND281	6.25	4		High
DAQ24USB-5V		CS5523	ND282	7.50	4		High
DAQ24USB-5V		CS5523	ND283	12.5	4		High
DAQ24USB-5V		CS5523	ND284	15.0	4		High
DAQ24USB-5V		CS5523	ND285	25.0	4		High
DAQ24USB-5V		CS5523	ND286	30.0	4		High
DAQ24USB-5V		CS5523	ND287	50.0	4		High
DAQ24USB-5V		CS5523	ND288	60.0	4		High
DAQ24USB-5V		CS5523	ND289	100		4		High
DAQ24USB-5V		CS5523	ND290	120		4		High
DAQ24USB-5V		CS5523	ND291	200		4		High
DAQ24USB-5V		CS5523	ND292	240		4		High
DAQ24USB-5V		CS5523	ND293	400		4		High
DAQ24USB-5V		CS5523	ND294	480		4		High
DAQ24USB-5V		CS5523	ND295	800		4		High
DAQ24USB-5V		CS5523	ND296	960		4		High
DAQ24USB-5V		CS5523	ND297	1600	4		High
DAQ24USB-5V		CS5523	ND298	1920	4		High
DAQ24USB-5V		CS5523	ND299	3200	4		High
DAQ24USB-5V		CS5523	ND300	3840	4		High

DAQ24USB-5V		CS5523	ND301	6.25	8		High
DAQ24USB-5V		CS5523	ND302	7.50	8		High
DAQ24USB-5V		CS5523	ND303	12.5	8		High
DAQ24USB-5V		CS5523	ND304	15.0	8		High
DAQ24USB-5V		CS5523	ND305	25.0	8		High
DAQ24USB-5V		CS5523	ND306	30.0	8		High
DAQ24USB-5V		CS5523	ND307	50.0	8		High
DAQ24USB-5V		CS5523	ND308	60.0	8		High
DAQ24USB-5V		CS5523	ND309	100		8		High
DAQ24USB-5V		CS5523	ND310	120		8		High
DAQ24USB-5V		CS5523	ND311	200		8		High
DAQ24USB-5V		CS5523	ND312	240		8		High
DAQ24USB-5V		CS5523	ND313	400		8		High
DAQ24USB-5V		CS5523	ND314	480		8		High
DAQ24USB-5V		CS5523	ND315	800		8		High
DAQ24USB-5V		CS5523	ND316	960		8		High
DAQ24USB-5V		CS5523	ND317	1600	8		High
DAQ24USB-5V		CS5523	ND318	1920	8		High
DAQ24USB-5V		CS5523	ND319	3200	8		High
DAQ24USB-5V		CS5523	ND320	3840	8		High

DAQ24USB-5V		CS5523	ND321	6.25	16		High
DAQ24USB-5V		CS5523	ND322	7.50	16		High
DAQ24USB-5V		CS5523	ND323	12.5	16		High
DAQ24USB-5V		CS5523	ND324	15.0	16		High
DAQ24USB-5V		CS5523	ND325	25.0	16		High
DAQ24USB-5V		CS5523	ND326	30.0	16		High
DAQ24USB-5V		CS5523	ND327	50.0	16		High
DAQ24USB-5V		CS5523	ND328	60.0	16		High
DAQ24USB-5V		CS5523	ND329	100		16		High
DAQ24USB-5V		CS5523	ND330	120		16		High
DAQ24USB-5V		CS5523	ND331	200		16		High
DAQ24USB-5V		CS5523	ND332	240		16		High
DAQ24USB-5V		CS5523	ND333	400		16		High
DAQ24USB-5V		CS5523	ND334	480		16		High
DAQ24USB-5V		CS5523	ND335	800		16		High
DAQ24USB-5V		CS5523	ND336	960		16		High
DAQ24USB-5V		CS5523	ND337	1600	16		High
DAQ24USB-5V		CS5523	ND338	1920	16		High
DAQ24USB-5V		CS5523	ND339	3200	16		High
DAQ24USB-5V		CS5523	ND340	3840	16		High

DAQ24USB-5V		CS5523	ND341	6.25	32		High
DAQ24USB-5V		CS5523	ND342	7.50	32		High
DAQ24USB-5V		CS5523	ND343	12.5	32		High
DAQ24USB-5V		CS5523	ND344	15.0	32		High
DAQ24USB-5V		CS5523	ND345	25.0	32		High
DAQ24USB-5V		CS5523	ND346	30.0	32		High
DAQ24USB-5V		CS5523	ND347	50.0	32		High
DAQ24USB-5V		CS5523	ND348	60.0	32		High
DAQ24USB-5V		CS5523	ND349	100		32		High
DAQ24USB-5V		CS5523	ND350	120		32		High
DAQ24USB-5V		CS5523	ND351	200		32		High
DAQ24USB-5V		CS5523	ND352	240		32		High
DAQ24USB-5V		CS5523	ND353	400		32		High
DAQ24USB-5V		CS5523	ND354	480		32		High
DAQ24USB-5V		CS5523	ND355	800		32		High
DAQ24USB-5V		CS5523	ND356	960		32		High
DAQ24USB-5V		CS5523	ND357	1600	32		High
DAQ24USB-5V		CS5523	ND358	1920	32		High
DAQ24USB-5V		CS5523	ND359	3200	32		High
DAQ24USB-5V		CS5523	ND360	3840	32		High

DAQ24USB-5V		CS5523	ND361	6.25	64		High
DAQ24USB-5V		CS5523	ND362	7.50	64		High
DAQ24USB-5V		CS5523	ND363	12.5	64		High
DAQ24USB-5V		CS5523	ND364	15.0	64		High
DAQ24USB-5V		CS5523	ND365	25.0	64		High
DAQ24USB-5V		CS5523	ND366	30.0	64		High
DAQ24USB-5V		CS5523	ND367	50.0	64		High
DAQ24USB-5V		CS5523	ND368	60.0	64		High
DAQ24USB-5V		CS5523	ND369	100		64		High
DAQ24USB-5V		CS5523	ND370	120		64		High
DAQ24USB-5V		CS5523	ND371	200		64		High
DAQ24USB-5V		CS5523	ND372	240		64		High
DAQ24USB-5V		CS5523	ND373	400		64		High
DAQ24USB-5V		CS5523	ND374	480		64		High
DAQ24USB-5V		CS5523	ND375	800		64		High
DAQ24USB-5V		CS5523	ND376	960		64		High
DAQ24USB-5V		CS5523	ND377	1600	64		High
DAQ24USB-5V		CS5523	ND378	1920	64		High
DAQ24USB-5V		CS5523	ND379	3200	64		High
DAQ24USB-5V		CS5523	ND380	3840	64		High

DAQ24USB-4CH	CS5523	ND101	6.25	1		Low
DAQ24USB-4CH	CS5523	ND102	7.50	1		Low
DAQ24USB-4CH	CS5523	ND103	12.5	1		Low
DAQ24USB-4CH	CS5523	ND104	15.0	1		Low
DAQ24USB-4CH	CS5523	ND105	25.0	1		Low
DAQ24USB-4CH	CS5523	ND106	30.0	1		Low
DAQ24USB-4CH	CS5523	ND107	50.0	1		Low
DAQ24USB-4CH	CS5523	ND108	60.0	1		Low
DAQ24USB-4CH	CS5523	ND109	100		1		Low
DAQ24USB-4CH	CS5523	ND110	120		1		Low
DAQ24USB-4CH	CS5523	ND111	200		1		Low
DAQ24USB-4CH	CS5523	ND112	240		1		Low
DAQ24USB-4CH	CS5523	ND113	400		1		Low
DAQ24USB-4CH	CS5523	ND114	480		1		Low
DAQ24USB-4CH	CS5523	ND115	800		1		Low
DAQ24USB-4CH	CS5523	ND116	960		1		Low
DAQ24USB-4CH	CS5523	ND117	1600	1		Low
DAQ24USB-4CH	CS5523	ND118	1920	1		Low
DAQ24USB-4CH	CS5523	ND119	3200	1		Low
DAQ24USB-4CH	CS5523	ND120	3840	1		Low

DAQ24USB-4CH	CS5523	ND121	6.25	2		Low
DAQ24USB-4CH	CS5523	ND122	7.50	2		Low
